Flow_ID,Src_IP,Src_Port,Dst_IP,Dst_Port,Protocol,Timestamp,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts/s,Flow_Pkts/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Bwd_IAT_Mean,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean.1,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts/s,Bwd_Pkts/s,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down/Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Byts/b_Avg,Fwd_Pkts/b_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts/b_Avg,Bwd_Pkts/b_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label,Sub_Cat
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 7:25,70117486,16,12,30,8,7,0,1.875,2.446085308,2,0,0.666666667,0.984731928,0.541947554,0.399329776,2596943.926,11643388.28,60060465,2,70117486,4674499.067,15536586.11,60060465,5,70102246,6372931.455,18062016.95,60076702,2,0,0,0,0,528,400,0.228188444,0.171141333,0,7,1.310344828,2.001846438,4.007389163,0,4,0,12,26,0,0,0,0,1.357142857,1.875,0.666666667,0,0,0,0,4,830,0,1,0,0,29200,114,8,32,0,0,0,0,1.55205E+15,27006627.59,1.55205E+15,1.55205E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 7:27,60092710,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.266255258,0.199691443,5462973.636,18107942.76,60060472,6,60092710,8584672.857,22698695.11,60060472,6,60076471,20025490.33,34685156.31,60076459,6,1,0,0,0,256,128,0.133127629,0.066563814,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,504,0,0,0,0,229,114,3,32,0,0,0,0,1.55205E+15,31661417.51,1.55205E+15,1.55205E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 7:29,60083969,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.266293993,0.199720494,5462179,18105478.35,60052247,5,60083969,8583424.143,22695618.82,60052247,5,60068736,20022912,34680687.91,60068721,6,1,0,0,0,256,128,0.133146996,0.066573498,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,512,0,0,0,0,229,114,3,32,0,0,0,0,1.55205E+15,31657130.28,1.55205E+15,1.55205E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 7:31,15737,4,2,4,4,2,0,1,1.154700538,2,2,2,0,508.3561035,381.2670776,3147.4,6890.969475,15473,5,15737,5245.666667,9071.039099,15720,6,5,5,0,5,5,1,0,0,0,128,64,254.1780517,127.0890259,0,2,1.428571429,0.975900073,0.952380952,0,0,0,4,6,0,0,0,0,1.666666667,1,2,0,0,0,0,4,516,0,0,0,0,229,114,1,32,0,0,0,0,1.55205E+15,7775.175475,1.55205E+15,1.55205E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38028-4441-6,192.168.1.197,38028,185.244.25.108,4441,6,8/03/2019 7:25,329079,18,12,30,122,7,0,1.666666667,2.566755792,44,0,10.16666667,16.29742497,461.895168,91.16352001,11347.55172,46909.31479,250353,2,329079,19357.58824,60737.547,250353,2,281358,25578,79743.73055,265593,2,0,0,0,0,616,424,54.698112,36.465408,0,44,4.903225806,10.92201092,119.2903226,0,4,2,12,28,0,0,0,0,5.066666667,1.666666667,10.16666667,0,0,0,0,12,541,0,1,0,4,29200,114,6,32,0,0,0,0,1.55205E+15,125041.0787,1.55205E+15,1.55205E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 8:33,60074829,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.266334508,0.199750881,5461348.091,18103299.84,60044848,6,60074829,8582118.429,22692931.8,60044848,6,60059851,20019950.33,34675559.88,60059838,6,1,0,0,0,256,128,0.133167254,0.066583627,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,542,0,0,0,0,229,114,3,32,0,0,0,0,1.55205E+15,31652734.99,1.55205E+15,1.55205E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 8:35,60109811,10,6,8,12,2,0,0.8,1.032795559,2,2,2,0,0.332724387,0.266179509,4007320.733,15452281.46,59863690,3,60109811,6678867.889,19944410.42,59863690,5,60075582,12015116.4,26756810.63,59878912,3,1,0,0,0,344,192,0.166362193,0.099817316,0,2,1.294117647,0.985184366,0.970588235,0,0,0,10,16,0,0,0,0,1.375,0.8,2,0,0,0,0,5,81,0,0,0,0,229,114,3,32,0,0,0,0,1.55205E+15,29827838.15,1.55205E+15,1.55205E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 8:37,60090580,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.266264696,0.199698522,5462780,18108045.97,60060590,5,60090580,8584368.571,22698881.15,60060590,6,60075590,20025196.67,34684648.53,60075579,5,1,0,0,0,256,128,0.133132348,0.066566174,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,542,0,0,0,0,229,114,3,32,0,0,0,0,1.55205E+15,31661032.21,1.55205E+15,1.55205E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 8:39,60097568,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.266233735,0.199675301,5463415.273,18107836.51,60060592,3,60097568,8585366.857,22698442.49,60060592,3,60075590,20025196.67,34684648.53,60075579,5,1,0,0,0,256,128,0.133116868,0.066558434,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,438,0,0,0,0,229,114,3,32,0,0,0,0,1.55205E+15,31661769.39,1.55205E+15,1.55205E+15,Anomaly,Mirai
192.168.1.197-185.244.25.108-38030-4441-6,192.168.1.197,38030,185.244.25.108,4441,6,8/03/2019 8:41,60082074,8,4,8,8,2,0,1,1.069044968,2,2,2,0,0.266302392,0.199726794,5462006.727,18105324.77,60051612,5,60082074,8583153.429,22695458.09,60051612,5,60066598,20022199.33,34679455.27,60066585,6,1,0,0,0,256,128,0.133151196,0.066575598,0,2,1.384615385,0.960768923,0.923076923,0,0,0,8,12,0,0,0,0,1.5,1,2,0,0,0,0,4,538,0,0,0,0,229,114,3,32,0,0,0,0,1.55205E+15,31656345.88,1.55205E+15,1.55205E+15,Anomaly,Mirai
